word,frequency,depth_score,safety_score
paper,134939426,3.444537297218247,0.04055042745322068
parts,100637505,3.234144231363421,0.027552706695377835
young,136341684,3.514524560282425,0.04335320940021045
story,138433809,3.2948879870802106,0.03204601479046836
point,175527859,3.307887909202733,0.029921686203335105
times,202950880,3.236858181215767,0.03115752304713754
heard,45436523,3.263496929338539,0.03372394400024017
whole,85202530,3.3395252410075673,0.03412162838663169
white,209863729,3.3212722953825637,0.036701759315944237
given,125542966,3.4485417644910523,0.039594732728038
means,105946662,3.2826456738647916,0.033966574485992544
music,414028837,3.4542606843407713,0.03577181748620676
miles,100012522,3.2769625597615746,0.03196594039569246
thing,97451660,3.381065076527185,0.030751354762453297
today,239271204,3.3862007168458783,0.03651129872606989
later,84857974,3.165348418616611,0.02658189827793352
using,269448880,3.461748261284604,0.04223724794791677
money,190205072,3.4174697666673604,0.03631640707272308
lines,76806341,3.23647342245934,0.031861861861861865
order,336631187,3.439318732750569,0.0418288035554483
group,321842984,3.4262622065239974,0.03242667309973263
among,83431590,3.445643410852713,0.031240612796635626
learn,179428286,3.2373617978919986,0.028482885195920127
known,86395556,3.6737618413184645,0.04540492904853941
space,121505269,3.2998085975893643,0.03156154501277491
table,165341452,3.2527631144836686,0.02749313173040287
early,100013194,3.3537624697663313,0.035135866026982904
trees,27378116,3.278978082448275,0.03820834000320154
short,106755242,3.1902755401330194,0.03012941223606715
hands,49087727,3.352307198542277,0.03341405812184773
state,453104133,3.3419763575526815,0.03950311309919603
black,244690155,3.4978233219932373,0.029046184738955823
shown,68755779,3.3868212956917367,0.034086131299177126
stood,11116275,3.4503845393333266,0.038956232997279565
front,100886343,3.3119477210143438,0.024995241386910307
voice,64600528,3.416927342156196,0.04335598546793839
kinds,34482138,3.4274249572295092,0.03498063857676029
makes,87829598,3.3713985453713047,0.037534424916128385
comes,64256803,3.303366587424348,0.0356974823564743
close,107853068,3.2614345974111907,0.031180824744333265
power,226596368,3.348014695199153,0.03283180600026097
lived,18050710,3.379631164525487,0.0344910371318822
vowel,1033509,3.4296520266408987,0.0375507510150203
taken,87019836,3.3222538876153895,0.029978265006660725
built,61502894,3.3560950935761253,0.03020322354590049
heart,90249265,3.174647073392223,0.029650027537175185
ready,62667516,3.356281485328486,0.03627663940579986
quite,58777731,3.4502405085941037,0.049055130720262644
class,191087771,3.4475710807619566,0.04006218967851948
bring,57608074,3.454554842973841,0.030905033076792203
round,61836702,3.3340678895475753,0.03260771655907521
horse,58453720,3.1943114644908834,0.03820629598118212
shows,84804638,3.5276327079736016,0.054648694119532125
piece,44298807,3.4668536914718784,0.04400168121047154
green,108287905,3.444222111055528,0.03881715367585924
stand,46292709,3.2935847737344863,0.026584191614369077
birds,19693729,3.3799997930227987,0.03342002600780234
start,161913408,3.3266846921797004,0.03593198588386269
river,78843808,3.5132655643664585,0.05057867125866004
tried,34201786,3.181147608632856,0.030010707388097788
